,ARTIST,SONG,FORM,LANGUAGE,YEAR,DECADE,VIEWS YOUTUBE,DATE & HOUR,GROUP HOUR,SHOW,NEWS SERVICE,STATION
243,Maroon 5,Memories,Band,EN,2019,2010,747211450.0,2021-07-12 19:04:00,19,Já se faz tarde,1,Comercial
244,Coldplay,Paradise,Band,EN,2011,2010,,2021-07-12 19:07:00,19,Já se faz tarde,1,Comercial
245,Green Day,Wake Me Up when September Ends,Band,EN,2004,2000,180969885.0,2021-07-12 19:15:00,19,Já se faz tarde,1,Comercial
246,Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453.0,2021-07-12 19:23:00,19,Já se faz tarde,1,Comercial
247,Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,PT,2021,2020,,2021-07-12 19:26:00,19,Já se faz tarde,1,Comercial
248,Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000.0,2021-07-12 19:31:00,19,Já se faz tarde,1,Comercial
249,Os Quatro e Meia,Sabes Bem,Band,PT,2020,2020,,2021-07-12 19:35:00,19,Já se faz tarde,1,Comercial
250,Justin Bieber,Sorry,Artist Male,EN,2019,2010,,2021-07-12 19:38:00,19,Já se faz tarde,1,Comercial
251,Robbie Williams,Feel,Artist Male,EN,2002,2000,,2021-07-12 19:44:00,19,Já se faz tarde,1,Comercial
252,Raye ft. Rudimental,Regardless,Colab,EN,2020,2020,9647220.0,2021-07-12 19:52:00,19,Já se faz tarde,1,Comercial
253,Silva ft. Anitta,Fica tudo Bem,Colab,PT,2018,2010,45414910.0,2021-07-12 19:55:00,19,Já se faz tarde,1,Comercial
254,Vitor Kley,Ainda Bem que Chegou,Artist Male,PT,2020,2020,,2021-07-12 20:55:00,20,Era o que faltava,0,Comercial
255,Sarah McLachlan,Angel,Artist Female,EN,1997,1990,,2021-07-12 21:01:00,21,Slow down,0,Comercial
256,Rui Veloso,Bairro do Oriente,Artist Male,PT,1980,1980,,2021-07-12 21:05:00,21,Slow down,0,Comercial
257,LeAnn Rimes,How Do I Live,Artist Female,EN,1997,1990,,2021-07-12 21:08:00,21,Slow down,0,Comercial
258,Silk Sonic,Leave the Door Open,Band,EN,2021,2020,334722364.0,2021-07-12 21:12:00,21,Slow down,0,Comercial
259,António Zambujo,Lote B,Artist Male,PT,2021,2020,705891.0,2021-07-12 21:16:00,21,Slow down,0,Comercial
260,Mariah Carey,Touch My Body,Artist Female,EN,2008,2000,,2021-07-12 21:19:00,21,Slow down,0,Comercial
261,Julia Michaels,Issues,Artist Female,EN,2017,2010,,2021-07-12 21:22:00,21,Slow down,0,Comercial
262,Neev,Dancing in the Stars,Artist Male,PT,2021,2020,,2021-07-12 21:25:00,21,Slow down,0,Comercial
263,Michael Bolton,When a Man Loves a Woman,Artist Male,EN,1991,1990,,2021-07-12 21:28:00,21,Slow down,0,Comercial
264,Christina Perri,A Thousand Years,Artist Female,EN,2011,2010,,2021-07-12 21:32:00,21,Slow down,0,Comercial
265,Adriana Calcanhotto,Devolva-me (live),Artist Female,PT,2000,2000,,2021-07-12 21:37:00,21,Slow down,0,Comercial
266,Ed Sheeran,Afterglow,Artist Male,EN,2020,2020,93688145.0,2021-07-12 21:40:00,21,Slow down,0,Comercial
267,Sara Afonso,Contramão,Artist Female,PT,2021,2020,,2021-07-12 21:43:00,21,Slow down,0,Comercial
268,Eddie Vedder,Guaranteed,Artist Male,EN,2007,2000,,2021-07-12 21:46:00,21,Slow down,0,Comercial
269,Dire Straits,On every Street,Band,EN,1991,1990,,2021-07-12 21:49:00,21,Slow down,0,Comercial
270,Alicia Keys,If I Ain't Got You,Artist Female,EN,2003,2000,,2021-07-12 21:54:00,21,Slow down,0,Comercial
271,Eric Clapton,Tears in Heaven,Artist Male,EN,1992,1990,,2021-07-12 21:58:00,21,Slow down,0,Comercial
272,Nuno Ribeiro,Tarde Demais,Artist Male,PT,2020,2020,,2021-07-12 22:02:00,22,Slow down,0,Comercial
273,Stevie Wonder,Overjoyed,Artist Male,EN,1985,1980,,2021-07-12 22:06:00,22,Slow down,0,Comercial
274,Years & Years,It's a Sin,Band,EN,2021,2020,,2021-07-12 22:09:00,22,Slow down,0,Comercial
275,GNR,Saliva,Band,PT,1998,1990,,2021-07-12 22:12:00,22,Slow down,0,Comercial
276,Live,Lightning Crashes,Band,EN,1994,1990,,2021-07-12 22:16:00,22,Slow down,0,Comercial
277,Adele,Chasing Pavements,Artist Female,EN,2008,2000,,2021-07-12 22:21:00,22,Slow down,0,Comercial
278,Dengaz ft. Seu Jorge,Para Sempre,Colab,PT,2015,2010,,2021-07-12 22:25:00,22,Slow down,0,Comercial
279,Elton John,Candle in the Wind,Artist Male,EN,1973,1973,24441771.0,2021-07-12 22:28:00,22,Slow down,0,Comercial
280,James Arthur,Naked,Artist Male,EN,2019,2010,,2021-07-12 22:31:00,22,Slow down,0,Comercial
281,Paulo Gonzo,Sei-te de Cor,Artist Male,PT,2006,2000,,2021-07-12 22:35:00,22,Slow down,0,Comercial
282,Carolina Deslandes,Por Um Triz,Artist Female,PT,2021,2020,,2021-07-12 22:40:00,22,Slow down,0,Comercial
283,Avril Lavigne,I'm with You,Artist Female,EN,2002,2000,,2021-07-12 22:43:00,22,Slow down,0,Comercial
284,Ronan Keating,When You Say Nothing at All,Artist Male,EN,1999,1990,,2021-07-12 22:47:00,22,Slow down,0,Comercial
285,Madonna,Take a Bow,Artist Female,EN,1994,1990,,2021-07-12 22:51:00,22,Slow down,0,Comercial
286,Pedro Abrunhosa,Tudo o que Eu Te Dou,Artist Male,PT,1994,1990,,2021-07-12 22:56:00,22,Slow down,0,Comercial
287,Celine Dion,Because You Loved Me,Artist Female,EN,1993,1990,,2021-07-12 23:01:00,23,Slow down,0,Comercial
288,Mafalda Veiga,Imortais,Artist Female,PT,2008,2000,,2021-07-12 23:06:00,23,Slow down,0,Comercial
289,Tracy Chapman,Give Me One Reason,Artist Female,EN,1999,1990,,2021-07-12 23:09:00,23,Slow down,0,Comercial
290,Duncan Laurence ft. Fletcher,Arcade (remix),Colab,PT,2020,2020,,2021-07-12 23:13:00,23,Slow down,0,Comercial
291,Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,EN,2021,2020,,2021-07-12 23:16:00,23,Slow down,0,Comercial
292,Boyz II Men,End of the Road,Band,EN,1991,1990,,2021-07-12 23:19:00,23,Slow down,0,Comercial
293,Coldplay,What If,Band,EN,2005,2000,,2021-07-12 23:25:00,23,Slow down,0,Comercial
294,Vitor Kley,Morena,Artist Male,PT,2018,2010,,2021-07-12 23:30:00,23,Slow down,0,Comercial
295,Michael Jackson,You Are Not Alone,Artist Male,EN,1995,1990,,2021-07-12 23:32:00,23,Slow down,0,Comercial
296,Hands on Approach ft. Treana Morris,If You Give Up,Colab,PT,2005,2000,1328270.0,2021-07-12 23:38:00,23,Slow down,0,Comercial
297,Biffy Clyro,Space,Band,EN,2020,2020,,2021-07-12 23:43:00,23,Slow down,0,Comercial
298,Fábia Rebordão,Rumo ao Sul,Artist Female,PT,2021,2020,283867.0,2021-07-12 23:47:00,23,Slow down,0,Comercial
299,Vaya con Dios,What's a Woman,Band,EN,1990,1990,,2021-07-12 23:50:00,23,Slow down,0,Comercial
300,Meat Loaf,I'd Do anything for Love (But I Won't Do That),Artist Male,EN,1993,1990,,2021-07-12 23:54:00,23,Slow down,0,Comercial
301,Coldplay,The scientist,Band,EN,2002,2000,,2021-07-12 00:01:00,0,Oceano Pacífico,0,RFM
302,Bruno Mars,Just the way you are,Artist Male,EN,2010,2010,,2021-07-12 00:05:00,0,Oceano Pacífico,0,RFM
303,António José ft. Diogo Piçarra,A donde vas,Colab,PT,2018,2010,,2021-07-12 00:08:00,0,Oceano Pacífico,0,RFM
304,Lost frequencies,Are you with me,Artist Male,EN,2014,2010,,2021-07-12 00:12:00,0,Oceano Pacífico,0,RFM
305,Skunk Anansie,Hedonism (just because you feel good),Band,EN,1996,1990,,2021-07-12 00:14:00,0,Oceano Pacífico,0,RFM
306,Vitor Kley,O amor é o segredo,Artist Male,PT,2020,2020,,2021-07-12 00:18:00,0,Oceano Pacífico,0,RFM
307,Marshmello ft. Khalid,Silence,Colab,EN ,2017,2010,,2021-07-12 00:21:00,0,Oceano Pacífico,0,RFM
308,Snow Patrol,Chasing cars,Band,EN,2006,2000,,2021-07-12 00:24:00,0,Oceano Pacífico,0,RFM
309,Ed Sheeran ft. Beyonce,Perfect (duet),Colab,EN,2017,2010,223772467.0,2021-07-12 00:30:00,0,Oceano Pacífico,0,RFM
310,Joe cocker,You are so beautiful,Artist Male,EN,1974,1970,,2021-07-12 00:34:00,0,Oceano Pacífico,0,RFM
311,Nelson Freitas ft. Richie Campbell,Break of dawn,Colab,PT,2016,2010,,2021-07-12 00:36:00,0,Oceano Pacífico,0,RFM
312,Coldplay ,Paradise,Band,EN,2011,2010,,2021-07-12 00:40:00,0,Oceano Pacífico,0,RFM
313,Richard Marx,Right here waiting,Artist Male,EN,1989,1980,,2021-07-12 00:43:00,0,Oceano Pacífico,0,RFM
314,Mia Rose ft. Salvador Seixas,Tudo para dar,Colab,PT,2016,2010,11280425.0,2021-07-12 00:46:00,0,Oceano Pacífico,0,RFM
315,Bruno Mars,Grenade,Artist Male,EN,2010,2010,,2021-07-12 00:51:00,0,Oceano Pacífico,0,RFM
316,Noble,Beautiful,Artist Male,PT,2021,2020,1346925.0,2021-07-12 00:55:00,0,Oceano Pacífico,0,RFM
317,Bon Jovi,Always,Band,EN,1994,1990,,2021-07-12 00:58:00,0,Oceano Pacífico,0,RFM
318,James Arthur,Naked,Artist Male,EN,2019,2010,,2021-07-12 01:04:00,1,Oceano Pacífico,0,RFM
319,Aerosmith,I don't want to miss a thing,Band,EN,1998,1990,,2021-07-12 01:08:00,1,Oceano Pacífico,0,RFM
320,Ed Sheeran,Perfect,Artist Male,EN,2017,2010,,2021-07-12 01:11:00,1,Oceano Pacífico,0,RFM
321,D.A.M.A,Era eu,Band,PT,2017,2010,,2021-07-12 01:16:00,1,Oceano Pacífico,0,RFM
322,Hootie & The Blowfish,Let her cry,Band,EN,1994,1990,,2021-07-12 01:19:00,1,Oceano Pacífico,0,RFM
323,Aurea,I didn't mean it,Artist Female,EN,2016,2010,,2021-07-12 01:24:00,1,Oceano Pacífico,0,RFM
324,Faith No More,Easy,Band,EN,1990,1990,,2021-07-12 01:27:00,1,Oceano Pacífico,0,RFM
325,John Legend,Conversations in the dark,Artist Male,EN,2020,2020,,2021-07-12 01:31:00,1,Oceano Pacífico,0,RFM
326,Israel Kamakawiwoole,Somewhere over the rainbow,Artist Male,EN,2009,2000,,2021-07-12 01:35:00,1,Oceano Pacífico,0,RFM
327,Nuno Ribeiro,Longe,Artist Male,PT,2019,2010,,2021-07-12 01:39:00,1,Oceano Pacífico,0,RFM
328,Alicia Keys,Fallin,Artist Female,EN,2001,2000,,2021-07-12 01:43:00,1,Oceano Pacífico,0,RFM
329,Matay,O que tu dás,Artist Male,PT,2017,2010,,2021-07-12 01:46:00,1,Oceano Pacífico,0,RFM
330,"Justin Bieber ft. Daniel Caesar, Giveon",Peaches,Colab,EN,2021,2020,,2021-07-12 01:52:00,1,Oceano Pacífico,0,RFM
331,Calema,Te Amo,Artist Male,PT,2020,2020,36740404.0,2021-07-12 01:55:00,1,Oceano Pacífico,0,RFM
332,Oasis,Don't look back in anger,Band,EN,1995,1990,,2021-07-12 01:59:00,1,Oceano Pacífico,0,RFM
333,Nininho Vaz Maia,Pega-te a mim,Artist Male,PT,2021,2020,,2021-07-12 02:04:00,2,Playlist,0,RFM
334,Alexandra Stan,Mr. Saxobeat,Artist Female,EN,2011,2010,,2021-07-12 02:06:00,2,Playlist,0,RFM
335,Silk Sonic,Leave the door open,Band,EN,2021,2020,334722364.0,2021-07-12 02:09:00,2,Playlist,0,RFM
336,Coldplay,Higher Power,Band,EN,2021,2020,,2021-07-12 02:12:00,2,Playlist,0,RFM
337,Bob Marley,One love,Artist Male,EN,1977,1970,,2021-07-12 02:16:00,2,Playlist,0,RFM
338,The Weeknd,In your eyes,Artist Male,EN,2020,2020,97839200.0,2021-07-12 02:18:00,2,Playlist,0,RFM
339,Paulo Gonzo ft. Olavo Bilac,Jardins proibidos,Colab,PT,1997,1990,,2021-07-12 02:22:00,2,Playlist,0,RFM
340,Surf Mesa ft. Emilee,Ily (i love you baby),Colab,EN,2019,2010,,2021-07-12 02:27:00,2,Playlist,0,RFM
341,Syro,Casa,Artist Male,PT,2021,2020,,2021-07-12 02:30:00,2,Playlist,0,RFM
342,Doja Cat ft. Sza,Kiss me more,Colab,EN,2021,2020,,2021-07-12 02:33:00,2,Playlist,0,RFM
343,Imagine Dragons,Follow you,Band,EN,2021,2020,,2021-07-12 02:36:00,2,Playlist,0,RFM
344,The Killers,Human,Band,EN,2008,2000,150184565.0,2021-07-12 02:39:00,2,Playlist,0,RFM
345,"Stereossauro ft. Mariza Liz, Carlão",A noite,Colab,PT,2020,2020,2210858.0,2021-07-12 02:43:00,2,Playlist,0,RFM
346,Nico & Vinz,Am i wrong,Colab,EN,2013,2010,500061056.0,2021-07-12 02:46:00,2,Playlist,0,RFM
347,Jawsh 685 ft. Jason Derulo,Savage love,Colab,EN,2020,2020,,2021-07-12 02:52:00,2,Playlist,0,RFM
348,Fugees,Ready or not,Band,EN,1995,1990,174001678.0,2021-07-12 02:55:00,2,Playlist,0,RFM
349,"Major Lazer ft. Fia, Labrinth",Titans,Colab,EN,2020,2020,,2021-07-12 02:59:00,2,Playlist,0,RFM
350,Justin Welligton,Iko iko,Artist Male,EN,2019,2010,26612049.0,2021-07-12 03:02:00,3,Playlist,0,RFM
351,Tom Enzy ft. Mikkel Solnado,Get up,Colab,PT,2014,2010,,2021-07-12 03:05:00,3,Playlist,0,RFM
352,Zoe Wees,Control,Artist Female,EN,2021,2020,,2021-07-12 03:08:00,3,Playlist,0,RFM
353,Lady Antebellum,Need you now,Band,EN,2009,2000,,2021-07-12 03:12:00,3,Playlist,0,RFM
354,Nena,Portas do sol,Artist Female,PT,2020,2020,,2021-07-12 03:16:00,3,Playlist,0,RFM
355,Robin Schulz ft. Wes,Alane,Colab,EN,2020,2020,,2021-07-12 03:20:00,3,Playlist,0,RFM
356,Carlão,Assobia para o lado,Artist Male,PT,2020,2020,,2021-07-12 03:23:00,3,Playlist,0,RFM
357,"Riton ft. Nightcrawlers, Mufasa e Hyperman",Friday,Colab,EN,2021,2020,,2021-07-12 03:27:00,3,Playlist,0,RFM
358,Bruce Springsteen,Born in the USA,Artist Male,EN,1984,1980,,2021-07-12 03:29:00,3,Playlist,0,RFM
359,Nuno Ribeiro ft. Ainoa Buitrago,Por ti,Colab,PT,2020,2020,,2021-07-12 03:33:00,3,Playlist,0,RFM
360,Avicii,Waiting for love,Artist Male,EN,2015,2010,,2021-07-12 03:37:00,3,Playlist,0,RFM
361,HMB ft. Carminho,O amor é assim,Colab,PT,2016,2010,10987708.0,2021-07-12 03:41:00,3,Playlist,0,RFM
362,Ed Sheeran,Bad habits,Artist Male,EN,2021,2020,,2021-07-12 03:45:00,3,Playlist,0,RFM
363,"ATB ft. Topic, A7S",Your love (9PM),Colab,EN,2021,2020,,2021-07-12 03:51:00,3,Playlist,0,RFM
364,Rony Fuego,Bem disposto,Artist Male,PT,2020,2020,,2021-07-12 03:53:00,3,Playlist,0,RFM
365,Soul Asylum,Runaway train,Band,EN,1992,1990,,2021-07-12 03:56:00,3,Playlist,0,RFM
366,Agir ft. Fernando Daniel,Sem ti,Colab,PT,2020,2020,,2021-07-12 04:01:00,4,Playlist,0,RFM
367,Shawn Mendes ft. Camila Cabello,Señorita,Colab,EN,2019,2010,,2021-07-12 04:04:00,4,Playlist,0,RFM
368,"Martin Garrix ft. Bono, The Edge",We are the people,Colab,EN,2021,2020,,2021-07-12 04:08:00,4,Playlist,0,RFM
369,Maroon 5 ft. Megan Thee Stallion,Beautiful mistakes,Colab,EN,2021,2020,,2021-07-12 04:11:00,4,Playlist,0,RFM
370,Backstreet Boys,I want it that way,Band,EN,1993,1990,,2021-07-12 04:14:00,4,Playlist,0,RFM
371,Maluma,Hawai,Artist Male,ES,2020,2020,,2021-07-12 04:18:00,4,Playlist,0,RFM
372,Anavitoria ft. Diogo Piçarra,Trevo,Colab,PT,2020,2020,,2021-07-12 04:21:00,4,Playlist,0,RFM
373,R3hab ft. Gattuso,Creep (clean remix),Colab,EN,2020,2020,,2021-07-12 04:25:00,4,Playlist,0,RFM
374,Beatriz Rosário,Ficamos por aqui,Artist Female,PT,2021,2020,,2021-07-12 04:28:00,4,Playlist,0,RFM
375,The Kid Laroi,Without you,Artist Male,EN,2020,2020,,2021-07-12 04:32:00,4,Playlist,0,RFM
376,Pink ft. Willow Sage Heart,Cover me in sunshine,Colab,EN,2021,2020,42677453.0,2021-07-12 04:34:00,4,Playlist,0,RFM
377,Coldplay,Viva la vida,Band,EN,2008,2000,,2021-07-12 04:37:00,4,Playlist,0,RFM
378,Anjos,Eterno,Band,PT,2021,2020,,2021-07-12 04:40:00,4,Playlist,0,RFM
379,Sia,Cheap Thrills,Artist Female,EN,2016,2010,,2021-07-12 04:45:00,4,Playlist,0,RFM
380,Sam Smith,Diamonds,Artist Male,EN,2020,2020,93891964.0,2021-07-12 04:50:00,4,Playlist,0,RFM
381,Whitney Houston,I wanna dance with somebody,Artist Female,EN,1987,1980,,2021-07-12 04:54:00,4,Playlist,0,RFM
382,"Joel Corry ft. Raye, David Guetta",Bed,Colab,EN,2021,2020,,2021-07-12 04:58:00,4,Playlist,0,RFM
383,David Guetta,Memories (version 2021),Artist Male,EN,2021,2020,,2021-07-12 05:04:00,5,Playlist,0,RFM
384,Dengaz ft. Seu Jorge,Para sempre,Colab,PT,2015,2010,,2021-07-12 05:07:00,5,Playlist,0,RFM
385,The Weeknd,Save your tears,Artist Male,EN,2020,2020,442823420.0,2021-07-12 05:11:00,5,Playlist,0,RFM
386,U2,Beautiful day,Band,EN,2000,2000,,2021-07-12 05:14:00,5,Playlist,0,RFM
387,Diogo Piçarra ft. Bispo,Monarquia,Colab,PT,2021,2020,,2021-07-12 05:21:00,5,Playlist,0,RFM
388,Kygo ft. Tina Turner,What's love got to do with it,Colab,EN,2020,2020,,2021-07-12 05:24:00,5,Playlist,0,RFM
389,Calema,Te Amo,Artist Male,PT,2020,2020,36740404.0,2021-07-12 05:28:00,5,Playlist,0,RFM
390,"Justin Bieber ft. Daniel Caesar, Giveon",Peaches,Colab,EN,2021,2020,,2021-07-12 05:32:00,5,Playlist,0,RFM
391,Noble,Beautiful,Artist Male,PT,2021,2020,1346925.0,2021-07-12 05:35:00,5,Playlist,0,RFM
392,Maluma ft. Nego do Borel,Corazon,Colab,ES,2018,2010,,2021-07-12 05:40:00,5,Playlist,0,RFM
393,João Pedro Pais,Um resto de tudo,Artist Male,PT,2001,2000,397651.0,2021-07-12 05:43:00,5,Playlist,0,RFM
394,The Weeknd,Blinding lights,Artist Male,EN,2020,2020,,2021-07-12 05:49:00,5,Playlist,0,RFM
395,Syro,Casa,Artist Male,PT,2021,2020,,2021-07-12 05:53:00,5,Playlist,0,RFM
396,Tiesto,The business,Artist Male,EN,2020,2020,,2021-07-12 06:00:00,6,Playlist,0,RFM
397,Ana Bacalhau ft. Diogo Piçarra,O erro mais bonito,Colab,PT,2019,2010,,2021-07-12 06:03:00,6,Playlist,0,RFM
398,Camila Cabello ft. Young Thug,Havana,Colab,EN,2018,2010,,2021-07-12 06:06:00,6,Playlist,0,RFM
399,Raye ft. Rudimental,Regardless,Colab,EN,2020,2020,9647220.0,2021-07-12 06:11:00,6,Playlist,0,RFM
400,Maroon 5,She will be loved,Band,EN,2002,2000,,2021-07-12 06:15:00,6,Playlist,0,RFM
401,Anselmo Ralph,O fim do mundo,Artist Male,PT,2020,2020,3150356.0,2021-07-12 06:24:00,6,Playlist,0,RFM
402,Sia ft. Kendrick Lamar,The greatest,Colab,EN,2016,2010,,2021-07-12 06:27:00,6,Playlist,0,RFM
403,UB40,Red red wine,Band,EN,1983,1980,156423334.0,2021-07-12 06:31:00,6,Playlist,0,RFM
404,Silk Sonic,Leave the door open,Band,EN,2021,2020,334722364.0,2021-07-12 06:37:00,6,Playlist,0,RFM
405,Matias Damásio,O teu olhar,Artist Male,PT,2018,2010,,2021-07-12 06:42:00,6,Playlist,0,RFM
406,Zoe Wees,Control,Artist Female,EN,2021,2020,,2021-07-12 06:46:00,6,Playlist,0,RFM
407,Weezer,Africa,Band,EN,2018,2010,,2021-07-12 06:50:00,6,Playlist,0,RFM
408,Aya Nakamura,Copines,Artist Female,FR,2018,2010,,2021-07-12 06:53:00,6,Playlist,0,RFM
409,Topic ft. A7S,Breaking me,Colab,EN,2019,2010,169520510.0,2021-07-12 07:03:00,7,Café da Manhã,1,RFM
410,Daddy Yankee,Dura,Artist Male,EN,2020,2020,,2021-07-12 07:13:00,7,Café da Manhã,1,RFM
411,Syro,Acordar,Artist Male,PT,2020,2020,4083309.0,2021-07-12 07:20:00,7,Café da Manhã,1,RFM
412,Calvin Harris,Summer,Artist Male,EN,2014,2010,1479082579.0,2021-07-12 07:25:00,7,Café da Manhã,1,RFM
413,Justin Bieber ft. Benny Blanco,Lonely,Colab,EN,2020,2020,,2021-07-12 07:34:00,7,Café da Manhã,1,RFM
414,Imagine Dragons,Follow you,Band,EN,2021,2020,,2021-07-12 07:36:00,7,Café da Manhã,1,RFM
415,"Riton ft. Nightcrawlers, Mufasa e Hyperman",Friday,Colab,EN,2021,2020,,2021-07-12 07:44:00,7,Café da Manhã,1,RFM
416,Xutos & Pontapés,À minha maneira,Band,PT,1988,1980,,2021-07-12 07:50:00,7,Café da Manhã,1,RFM
417,Mika,Grace Kelly,Artist Male,EN,2007,2000,,2021-07-12 07:54:00,7,Café da Manhã,1,RFM
418,"ATB ft. Topic, A7S",Your love (9PM),Colab,EN,2021,2020,,2021-07-12 08:04:00,8,Café da Manhã,1,RFM
419,Giulia Be ft. Luan Santana,Inesquecível,Colab,PT,2020,2020,41438425.0,2021-07-12 08:12:00,8,Café da Manhã,1,RFM
420,Joel Corry ft. MNEK,Head & Heart,Colab,EN,2020,2020,,2021-07-12 08:21:00,8,Café da Manhã,1,RFM
421,Diogo Piçarra ft. Carolina Deslandes,Anjos,Colab,PT,2019,2010,,2021-07-12 08:27:00,8,Café da Manhã,1,RFM
422,Master KG ft. Nomcebo Zikode,Jerusalema,Colab,EN,2020,2020,423351001.0,2021-07-12 08:39:00,8,Café da Manhã,1,RFM
423,Queen,Radio ga ga,Band,EN,1984,1980,,2021-07-12 08:46:00,8,Café da Manhã,1,RFM
424,The Weeknd,Save your tears,Artist Male,EN,2020,2020,442823420.0,2021-07-12 08:53:00,8,Café da Manhã,1,RFM
425,Twocolors,Lovefool,Band,EN,2020,2020,46336535.0,2021-07-12 09:06:00,9,Café da Manhã,1,RFM
426,Nena,Portas do sol,Artist Female,PT,2020,2020,,2021-07-12 09:13:00,9,Café da Manhã,1,RFM
427,"Martin Garrix ft. Bono, The Edge",We are the people,Colab,EN,2021,2020,,2021-07-12 09:21:00,9,Café da Manhã,1,RFM
428,Avicii,Wake me up,Artist Male,EN,2013,2010,,2021-07-12 09:28:00,9,Café da Manhã,1,RFM
429,"Justin Bieber ft. Daniel Caesar, Giveon",Peaches,Colab,EN,2021,2020,,2021-07-12 09:38:00,9,Café da Manhã,1,RFM
430,The Weeknd,In your eyes,Artist Male,EN,2020,2020,97839200.0,2021-07-12 09:43:00,9,Café da Manhã,1,RFM
431,David Carreira feat. Kell Smith,Cuido de você,Colab,PT,2018,2010,,2021-07-12 09:48:00,9,Café da Manhã,1,RFM
432,Zoe Wees,Control,Artist Female,EN,2021,2020,,2021-07-12 09:59:00,9,Café da Manhã,1,RFM
433,Maroon 5,Animals,Band,EN,2014,2010,,2021-07-12 10:03:00,10,Playlist,1,RFM
434,Nininho Vaz Maia,Pega-te a mim,Artist Male,PT,2021,2020,,2021-07-12 10:07:00,10,Playlist,1,RFM
435,Pink ft. Willow Sage Heart,Cover me in sunshine,Colab,EN,2021,2020,42677453.0,2021-07-12 10:09:00,10,Playlist,1,RFM
436,Jennifer Lopez,Waiting for tonight,Artist Female,EN,1999,1990,,2021-07-12 10:11:00,10,Playlist,1,RFM
437,Agir ft. Fernando Daniel,Sem ti,Colab,PT,2020,2020,,2021-07-12 10:15:00,10,Playlist,1,RFM
438,Surf Mesa ft. Emilee,Ily (i love you baby),Colab,EN,2019,2010,,2021-07-12 10:19:00,10,Playlist,1,RFM
439,Xutos & Pontapés,O homem do leme,Band,PT,1985,1980,,2021-07-12 10:22:00,10,Playlist,1,RFM
440,Post Malone,Circles,Artist Male,EN,2019,2010,,2021-07-12 10:26:00,10,Playlist,1,RFM
441,"Riton ft. Nightcrawlers, Mufasa e Hyperman",Friday,Colab,EN,2021,2020,,2021-07-12 10:30:00,10,Playlist,1,RFM
442,Everything But The Girl,Missing (remix),Band,EN,1994,1990,,2021-07-12 10:32:00,10,Playlist,1,RFM
443,Carlão,Assobia para o lado,Artist Male,PT,2020,2020,,2021-07-12 10:36:00,10,Playlist,1,RFM
444,Jawsh 685 ft. Jason Derulo,Savage love,Colab,EN,2020,2020,,2021-07-12 10:39:00,10,Playlist,1,RFM
445,Miguel Gameiro ft. Mariza,O teu nome,Colab,PT,2010,2010,,2021-07-12 10:42:00,10,Playlist,1,RFM
446,Shakira ft. Alejandro Sanz,La tortura,Colab,ES,2005,2000,,2021-07-12 10:47:00,10,Playlist,1,RFM
447,Robin Schulz ft. Wes,Alane,Colab,EN,2020,2020,,2021-07-12 11:01:00,11,Playlist,1,RFM
448,Calema,A nossa vez,Artist Male,PT,2017,2010,,2021-07-12 11:04:00,11,Playlist,1,RFM
449,Eurythmics,Sweet dreams (are made of this),Band,EN,1983,1980,,2021-07-12 11:07:00,11,Playlist,1,RFM
450,Saint Jhn,Roses,Artist Male,EN,2020,2020,,2021-07-12 11:11:00,11,Playlist,1,RFM
451,Nuno Ribeiro ft. Ainoa Buitrago,Por ti,Colab,PT,2020,2020,,2021-07-12 11:14:00,11,Playlist,1,RFM
452,"Joel Corry ft. Raye, David Guetta",Bed,Colab,EN,2021,2020,,2021-07-12 11:17:00,11,Playlist,1,RFM
453,Maluma,Hawai,Artist Male,ES,2020,2020,,2021-07-12 11:20:00,11,Playlist,1,RFM
454,Rony Fuego,Bem disposto,Artist Male,PT,2020,2020,,2021-07-12 11:23:00,11,Playlist,1,RFM
455,Meduza ft. Becky Hill & Goodboys,Lose control,Colab,EN,2019,2010,,2021-07-12 11:27:00,11,Playlist,1,RFM
456,Black Eyed Peas,i gotta feeling,Band,EN,2009,2000,,2021-07-12 11:30:00,11,Playlist,1,RFM
457,"ATB ft. Topic, A7S",Your love (9PM),Colab,EN,2021,2020,,2021-07-12 11:39:00,11,Playlist,1,RFM
458,Richie Campbell,Heaven,Artist Male,PT,2017,2010,,2021-07-12 11:41:00,11,Playlist,1,RFM
459,Tiesto,The business,Artist Male,EN,2020,2020,,2021-07-12 11:45:00,11,Playlist,1,RFM
460,Dua Lipa ft. Dababy,Levitating,Colab,EN,2020,2020,,2021-07-12 11:47:00,11,Playlist,1,RFM
461,The Weeknd,Save your tears,Artist Male,EN,2020,2020,442823420.0,2021-07-12 11:59:00,11,Playlist,1,RFM
462,Diogo Piçarra ft. Bispo,Monarquia,Colab,PT,2021,2020,,2021-07-12 12:03:00,12,Playlist,1,RFM
463,Kygo ft. Donna Summer,Hot stuff,Colab,EN,2020,2020,,2021-07-12 12:06:00,12,Playlist,1,RFM
464,Silk Sonic,Leave the door open,Band,EN,2021,2020,334722364.0,2021-07-12 12:09:00,12,Playlist,1,RFM
