ARTIST,SONG,FORM,LANGUAGE,YEAR,DECADE,VIEWS YOUTUBE,DATE,HOUR,GROUP HOUR,SHOW,NEWS SERVICE,STATION
Foo Fighters,Waiting on a War,Band,EN,2021,2020,7019864,12-7-2021,00:06,0,Playlist,0,Comercial
DJ Snake ft. Justin Bieber,Let Me Love You,Colab,EN,2016,2010,,12-7-2021,00:10,0,Playlist,0,Comercial
Syro,Acordar,Artist Male,PT,2020,2020,4083309,12-7-2021,00:13,0,Playlist,0,Comercial
Amy Winehouse,Rehab,Artist Female,EN,2006,2000,277741986,12-7-2021,00:17,0,Playlist,0,Comercial
Maroon 5,Memories,Band,EN,2019,2010,747211450,12-7-2021,00:20,0,Playlist,0,Comercial
Avicii ft. Aloe Blacc,Wake Me Up,Colab,EN,2013,2010,,12-7-2021,00:23,0,Playlist,0,Comercial
Virgul,High,Artist Male,PT,2020,2020,192991,12-7-2021,00:27,0,Playlist,0,Comercial
Lady Gaga ft. Bradley Cooper,Shallow,Colab,EN,2018,2010,1146053424,12-7-2021,00:32,0,Playlist,0,Comercial
Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000,12-7-2021,00:35,0,Playlist,0,Comercial
Lukas Graham,7 Years,Artist Male,EN,2015,2010,,12-7-2021,00:39,0,Playlist,0,Comercial
Toranja,Carta,Band,PT,2003,2000,1255189,12-7-2021,00:43,0,Playlist,0,Comercial
Beyonce,Halo,Artist Female,EN,2009,2000,,12-7-2021,00:48,0,Playlist,0,Comercial
Nuno Ribeiro ft. Nick Cruz,Nas Ondas do Mar,Colab,PT,2021,2020,,12-7-2021,00:52,0,Playlist,0,Comercial
Duncan Laurence ft. Fletcher,Arcade (remix),Colab,EN,2020,2020,,12-7-2021,00:55,0,Playlist,0,Comercial
Anne-Marie ft. Niall Horan,Our Song,Colab,EN,2021,2020,,12-7-2021,00:58,0,Playlist,0,Comercial
The Kid LAROI,Without You,Artist Male,EN,2020,2020,,12-7-2021,01:03,1,Playlist,0,Comercial
Mr. Probz ft. Robin Schulz,Waves,Colab,EN,2013,2010,,12-7-2021,01:05,1,Playlist,0,Comercial
Fernando Daniel,Recomeçar,Artist Male,PT,2020,2020,,12-7-2021,01:09,1,Playlist,0,Comercial
Dido,White Flag,Artist Female,EN,2003,2000,,12-7-2021,01:12,1,Playlist,0,Comercial
Imagine Dragons,Follow You,Band,EN,2021,2020,,12-7-2021,01:16,1,Playlist,0,Comercial
James Arthur,Impossible,Artist Male,EN,2013,2010,,12-7-2021,01:19,1,Playlist,0,Comercial
Carlão,Os Tais (Ah Ya),Artist Male,PT,2015,2010,,12-7-2021,01:22,1,Playlist,0,Comercial
Doja Cat,Say So,Artist Female,EN,2019,2010,,12-7-2021,01:26,1,Playlist,0,Comercial
Álvaro de Luna,Juramento Eterno de Sal,Artist Male,PT,2020,2020,,12-7-2021,01:29,1,Playlist,0,Comercial
Ellie Goulding,Love Me Like You Do,Artist Female,EN,2015,2010,,12-7-2021,01:33,1,Playlist,0,Comercial
Ana Moura,Andorinhas,Artist Female,PT,2021,2020,,12-7-2021,01:37,1,Playlist,0,Comercial
Aerosmith,Cryin',Band,EN,1993,1990,,12-7-2021,01:41,1,Playlist,0,Comercial
Bárbara Tinoco ft. Carlão,Advogado,Colab,PT,2021,2020,,12-7-2021,01:46,1,Playlist,0,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,01:49,1,Playlist,0,Comercial
Justin Wellington,Iko Iko,Artist Male,EN,2019,2010,26612049,12-7-2021,01:51,1,Playlist,0,Comercial
Anjos,Tempo,Band,PT,2021,2020,3000701,12-7-2021,01:54,1,Playlist,0,Comercial
Linkin Park,Rolling in the Deep (live),Band,EN,2011,2010,,12-7-2021,01:58,1,Playlist,0,Comercial
The Weeknd,Save Your Tears,Artist Male,EN,2020,2020,442823420,12-7-2021,02:03,2,Playlist,0,Comercial
Ed Sheeran,How Would You Feel (Paean),Artist Male,EN,2017,2010,,12-7-2021,02:06,2,Playlist,0,Comercial
Cláudia Pascoal,Quase Dança,Artist Female,PT,2020,2020,,12-7-2021,02:10,2,Playlist,0,Comercial
Brandi Carlile,The Story,Artist Female,EN,2007,2000,,12-7-2021,02:13,2,Playlist,0,Comercial
Years & Years,It's a Sin,Band,EN,2021,2020,,12-7-2021,02:17,2,Playlist,0,Comercial
Avicii,Levels,Artist Male,EN,2011,2010,,12-7-2021,02:20,2,Playlist,0,Comercial
Rony Fuego,Bem Disposto,Artist Male,PT,2020,2020,,12-7-2021,02:22,2,Playlist,0,Comercial
The Weeknd,Blinding Lights,Artist Male,EN,2020,2020,,12-7-2021,02:25,2,Playlist,0,Comercial
Rag'n'Bone Man ft. Pink,Anywhere Away from Here,Colab,EN,2021,2020,,12-7-2021,02:29,2,Playlist,0,Comercial
The Script ft. will.i.am,Hall of Fame,Band,EN,2021,2020,,12-7-2021,02:32,2,Playlist,0,Comercial
Ana Vilela,Trem bala,Artist Female,PT,2016,2010,,12-7-2021,02:36,2,Playlist,0,Comercial
Mary J. Blige ft. U2,One,Colab,EN,2006,2000,,12-7-2021,02:40,2,Playlist,0,Comercial
Edu Monteiro,Love You Better,Artist Male,PT,2021,2020,,12-7-2021,02:44,2,Playlist,0,Comercial
Coldplay,Higher Power,Band,EN,2021,2020,,12-7-2021,02:47,2,Playlist,0,Comercial
Olivia Rodrigo,Good 4 U,Artist Female,EN,2021,2020,,12-7-2021,02:51,2,Playlist,0,Comercial
Fábia Rebordão,Rumo ao Sul,Artist Female,PT,2021,2020,283867,12-7-2021,02:54,2,Playlist,0,Comercial
Imagine Dragons,On Top of the World,Band,EN,2012,2010,,12-7-2021,02:57,2,Playlist,0,Comercial
Master KG ft. Nomcebo Zikode,Jerusalema,Colab,EN,2020,2020,423351001,12-7-2021,03:02,3,Playlist,0,Comercial
Justin Bieber,Love Yourself,Artist Male,EN,2015,2010,,12-7-2021,03:05,3,Playlist,0,Comercial
Vai e Vem ft. Alicia,Cara Bonita,Colab,PT,2021,2020,,12-7-2021,03:09,3,Playlist,0,Comercial
Bryan Adams ft. Melanie C.,When You're Gone,Colab,EN,1998,1990,,12-7-2021,03:12,3,Playlist,0,Comercial
Dua Lipa ft. DaBaby,Levitating,Colab,EN,2020,2020,,12-7-2021,03:15,3,Playlist,0,Comercial
Ed Sheeran,Photograph,Artist Male,EN,2014,2010,,12-7-2021,03:19,3,Playlist,0,Comercial
Virgul,All We Need Is Love,Artist Male,PT,2017,2010,,12-7-2021,03:22,3,Playlist,0,Comercial
Lewis Capaldi,Someone You Loved,Artist Male,EN,2019,2010,397897732,12-7-2021,03:26,3,Playlist,0,Comercial
"ATB ft. Topic, A7S",Your Love (9PM),Colab,EN,2021,2020,,12-7-2021,03:30,3,Playlist,0,Comercial
Biffy Clyro,Re-arrange,Band,EN,2016,2010,,12-7-2021,03:32,3,Playlist,0,Comercial
Carolina Deslandes,Por Um Triz,Artist Female,PT,2021,2020,,12-7-2021,03:36,3,Playlist,0,Comercial
The Calling,Wherever You Will Go,Band,EN,2001,2000,,12-7-2021,03:40,3,Playlist,0,Comercial
Maninho,Pode Tentar,Artist Male,PT,2021,2020,,12-7-2021,03:43,3,Playlist,0,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,03:46,3,Playlist,0,Comercial
Anne-Marie ft. Niall Horan,Our Song,Colab,EN,2021,2020,,12-7-2021,03:50,3,Playlist,0,Comercial
Joana Almeirante,Bem Me Quer,Artist Female,PT,2020,2020,,12-7-2021,03:53,3,Playlist,0,Comercial
Zayn ft. Sia,Dusk till Dawn,Colab,EN,2017,2010,,12-7-2021,03:55,3,Playlist,0,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,04:01,4,Playlist,0,Comercial
James Arthur,Say You Won't Let Go,Artist Male,EN,2016,2010,,12-7-2021,04:03,4,Playlist,0,Comercial
Os Quatro e Meia ft. Carlão,Bom Rapaz,Colab,PT,2020,2020,,12-7-2021,04:06,4,Playlist,0,Comercial
Oasis,Don't Look Back in Anger,Band,EN,1995,1990,,12-7-2021,04:09,4,Playlist,0,Comercial
Michele Morrone,Hard for Me,Artist Male,EN,2020,2020,,12-7-2021,04:14,4,Playlist,0,Comercial
Avicii,Hey Brother,Artist Male,EN,2013,2010,,12-7-2021,04:17,4,Playlist,0,Comercial
Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,PT,2021,2020,,12-7-2021,04:20,4,Playlist,0,Comercial
Shawn Mendes,In My Blood,Artist Male,EN,2018,2010,,12-7-2021,04:23,4,Playlist,0,Comercial
"Justin Bieber ft. Daniel Caesar, Giveon",Peaches,Colab,EN,2021,2020,,12-7-2021,04:26,4,Playlist,0,Comercial
Imagine Dragons,Radioactive,Band,EN,2012,2010,,12-7-2021,04:29,4,Playlist,0,Comercial
Nuno Ribeiro,Longe,Artist Male,PT,2019,2010,,12-7-2021,04:33,4,Playlist,0,Comercial
Puff Daddy,I'll Be Missing You,Artist Male,EN,1997,1990,44930072,12-7-2021,04:37,4,Playlist,0,Comercial
The Black Mamba,Crazy Nando,Band,PT,2021,2020,,12-7-2021,04:41,4,Playlist,0,Comercial
Silk Sonic,Leave the Door Open,Band,EN,2021,2020,334722364,12-7-2021,04:46,4,Playlist,0,Comercial
Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000,12-7-2021,04:49,4,Playlist,0,Comercial
Jüra,Somozumnãodois,Artist Female,PT,2021,2020,,12-7-2021,04:53,4,Playlist,0,Comercial
30 Seconds to Mars,Closer to the Edge,Band,EN,2009,2000,,12-7-2021,04:57,4,Playlist,0,Comercial
Zoe Wees,Control,Artist Female,EN,2021,2020,,12-7-2021,05:02,5,Playlist,0,Comercial
Ed Sheeran,Don't,Artist Male,EN,2014,2010,,12-7-2021,05:06,5,Playlist,0,Comercial
Giulia Be ft. Luan Santana,Inesquecível,Colab,PT,2020,2020,41438425,12-7-2021,05:10,5,Playlist,0,Comercial
Coldplay,Yellow,Band,EN,2000,2000,,12-7-2021,05:13,5,Playlist,0,Comercial
Raye ft. Rudimental,Regardless,Colab,EN,2020,2020,9647220,12-7-2021,05:18,5,Playlist,0,Comercial
Emeli Sandé,Read all about It,Artist Female,EN,2012,2010,,12-7-2021,05:21,5,Playlist,0,Comercial
João Pedro Pais,Santo Domingo,Artist Male,PT,2019,2010,,12-7-2021,05:26,5,Playlist,0,Comercial
Lady Gaga,Always Remember Us this Way,Artist Female,EN,2018,2010,,12-7-2021,05:28,5,Playlist,0,Comercial
"Regard ft. Troye Sivan, Tate McRae",You,Colab,EN,2021,2020,,12-7-2021,05:32,5,Playlist,0,Comercial
Adele,Someone Like You,Artist Female,EN,2011,2010,,12-7-2021,05:36,5,Playlist,0,Comercial
Virgul,High,Artist Male,PT,2020,2020,192991,12-7-2021,05:40,5,Playlist,0,Comercial
Daniel Bedingfield,If You're Not the One,Artist Male,EN,2002,2000,,12-7-2021,05:46,5,Playlist,0,Comercial
Jão,Coringa,Artist Male,PT,2021,2020,,12-7-2021,05:50,5,Playlist,0,Comercial
The Weeknd ft. Ariana Grande,Save Your Tears (remix),Colab,EN,2020,2020,,12-7-2021,05:53,5,Playlist,0,Comercial
Álvaro de Luna,Juramento Eterno de Sal,Artist Male,PT,2020,2020,,12-7-2021,05:56,5,Playlist,0,Comercial
Ivandro,Não É Fácil,Artist Male,PT,2020,2020,,12-7-2021,05:59,5,Playlist,0,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,06:03,6,Playlist,0,Comercial
OneRepublic,Counting Stars,Band,EN,2013,2010,,12-7-2021,06:06,6,Playlist,0,Comercial
Ana Moura,Andorinhas,Artist Female,PT,2021,2020,,12-7-2021,06:11,6,Playlist,0,Comercial
Bon Jovi,Thank You for Loving Me,Band,EN,2000,2000,,12-7-2021,06:14,6,Playlist,0,Comercial
The Weeknd,In Your Eyes,Artist Male,EN,2020,2020,97839200,12-7-2021,06:18,6,Playlist,0,Comercial
Rihanna ft. Eminem,Love the Way You Lie,Colab,EN,2010,2010,2252088487,12-7-2021,06:22,6,Playlist,0,Comercial
Pedro Abrunhosa,Para os Braços da Minha Mãe,Artist Male,PT,2013,2010,,12-7-2021,06:27,6,Playlist,0,Comercial
Nirvana,Come as You Are,Band,EN,1991,1990,,12-7-2021,06:33,6,Playlist,0,Comercial
Rag'n'Bone Man ft. Pink,Anywhere Away from Here,Colab,EN,2021,2020,,12-7-2021,06:37,6,Playlist,0,Comercial
Virgul,Dividir Amor,Artist Male,PT,2020,2020,,12-7-2021,06:41,6,Playlist,0,Comercial
Imagine Dragons,Whatever It Takes,Band,EN,2017,2010,764293712,12-7-2021,06:45,6,Playlist,0,Comercial
Blacci ft. Murta,Vou Te Amar,Artist Female,PT,2021,2020,,12-7-2021,06:48,6,Playlist,0,Comercial
Duncan Laurence ft. Fletcher,Arcade (remix),Colab,EN,2020,2020,,12-7-2021,06:52,6,Playlist,0,Comercial
Os Azeitonas,Guitarrista do Liceu,Band,PT,2021,2020,,12-7-2021,06:54,6,Playlist,0,Comercial
"Riton ft. Nightcrawlers, Mufasa e Hyperman",Friday,Colab,EN,2021,2020,,12-7-2021,07:08,7,Manhãs da Comercial,1,Comercial
Nuno Ribeiro ft. Nick Cruz,Nas Ondas do Mar,Colab,PT,2021,2020,,12-7-2021,07:11,7,Manhãs da Comercial,1,Comercial
Paulo Gonzo,Dei-te quase Tudo,Artist Male,PT,1997,1990,,12-7-2021,07:20,7,Manhãs da Comercial,1,Comercial
bellini,samba de janeiro,Band,PT,1997,1990,,12-7-2021,07:25,7,Manhãs da Comercial,1,Comercial
Carlão,Assobia para o Lado,Artist Male,PT,2020,2020,,12-7-2021,07:35,7,Manhãs da Comercial,1,Comercial
Ed Sheeran,Afterglow,Artist Male,EN,2020,2020,93688145,12-7-2021,07:43,7,Manhãs da Comercial,1,Comercial
Armandinho,Mas Eu Gosto Dela,Artist Male,PT,2021,2020,,12-7-2021,07:46,7,Manhãs da Comercial,1,Comercial
3 Doors Down,Here without You,Band,EN,2003,2000,652474553,12-7-2021,07:52,7,Manhãs da Comercial,1,Comercial
Kygo ft. Tina Turner,What's Love Got to Do with It,Colab,EN,2020,2020,,12-7-2021,07:55,7,Manhãs da Comercial,1,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,08:12,8,Manhãs da Comercial,1,Comercial
Dire Straits,Walk of Life,Band,EN,1985,1980,,12-7-2021,08:21,8,Manhãs da Comercial,1,Comercial
Os Quatro e Meia,"Olá, Solidão",Band,PT,2021,2020,,12-7-2021,08:38,8,Manhãs da Comercial,1,Comercial
Foo Fighters,Waiting on a War,Band,EN,2021,2020,7019864,12-7-2021,08:46,8,Manhãs da Comercial,1,Comercial
Coldplay,Higher Power,Band,EN,2021,2020,,12-7-2021,09:12,9,Manhãs da Comercial,1,Comercial
"Flo Rida ft. Robin Thicke, Verdine White","I Don't Like It, I Love It",Colab,EN,2015,2010,,12-7-2021,09:20,9,Manhãs da Comercial,1,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,09:29,9,Manhãs da Comercial,1,Comercial
HMB ft. Rui Veloso,Lembra-te de Mim,Colab,PT,2021,2020,,12-7-2021,09:39,9,Manhãs da Comercial,1,Comercial
Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,PT,2021,2020,,12-7-2021,09:48,9,Manhãs da Comercial,1,Comercial
Master KG ft. Nomcebo Zikode,Jerusalema,Colab,EN,2020,2020,423351001,12-7-2021,09:51,9,Manhãs da Comercial,1,Comercial
Adam Lambert,Whataya Want from Me,Artist Male,EN,2009,2000,,12-7-2021,09:59,9,Manhãs da Comercial,1,Comercial
Dua Lipa ft. DaBaby,Levitating,Colab,EN,2020,2020,,12-7-2021,10:06,10,Manhãs da Comercial,1,Comercial
Maroon 5,Memories,Band,EN,2019,2010,747211450,12-7-2021,10:10,10,Manhãs da Comercial,1,Comercial
Dandy Warhols,Bohemian Like You,Band,EN,2000,2000,,12-7-2021,10:13,10,Manhãs da Comercial,1,Comercial
Virgul,High,Artist Male,PT,2020,2020,192991,12-7-2021,10:21,10,Manhãs da Comercial,1,Comercial
Bárbara Tinoco,Outras Línguas,Artist Female,PT,2020,2020,1448442,12-7-2021,10:29,10,Manhãs da Comercial,1,Comercial
Doja Cat ft. Sza,Kiss Me More,Colab,EN,2021,2020,,12-7-2021,10:32,10,Manhãs da Comercial,1,Comercial
Xutos & Pontapés,Chuva Dissolvente,Band,PT,1992,1990,,12-7-2021,10:46,10,Manhãs da Comercial,1,Comercial
The Weeknd,Save Your Tears,Artist Male,EN,2020,2020,442823420,12-7-2021,10:50,10,Manhãs da Comercial,1,Comercial
Nena,Portas do Sol,Artist Female,PT,2020,2020,,12-7-2021,10:54,10,Manhãs da Comercial,1,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,11:00,11,Playlist,1,Comercial
James Bay,Let It Go,Artist Male,EN,2015,2010,,12-7-2021,11:04,11,Playlist,1,Comercial
"Stereossauro ft. Marisa Liz, Carlão",A Noite,Colab,PT,2020,2020,2210858,12-7-2021,11:08,11,Playlist,1,Comercial
Yves Larock ft. Jaba,Rise Up,Colab,EN,2007,2000,,12-7-2021,11:11,11,Playlist,1,Comercial
The Kid LAROI,Without You,Artist Male,EN,2020,2020,,12-7-2021,11:14,11,Playlist,1,Comercial
Ana Moura,Andorinhas,Artist Female,PT,2021,2020,,12-7-2021,11:16,11,Playlist,1,Comercial
Dermot Kennedy,Power Over Me,Artist Male,EN,2019,2010,,12-7-2021,11:19,11,Playlist,1,Comercial
Dua Lipa,We're Good,Artist Female,EN,2021,2020,,12-7-2021,11:22,11,Playlist,1,Comercial
Joana Almeirante,Bem Me Quer,Artist Female,PT,2020,2020,,12-7-2021,11:25,11,Playlist,1,Comercial
Linkin Park,Shadow of the Day,Band,EN,2007,2000,57269425,12-7-2021,11:28,11,Playlist,1,Comercial
Mumford & Sons,I Will Wait,Band,EN,2012,2010,,12-7-2021,11:38,11,Playlist,1,Comercial
Silk Sonic,Leave the Door Open,Band,EN,2021,2020,334722364,12-7-2021,11:48,11,Playlist,1,Comercial
Miguel Araújo,Os Maridos das Outras,Artist Male,PT,2012,2010,,12-7-2021,11:53,11,Playlist,1,Comercial
Michele Morrone,Hard for Me,Artist Female,EN,2020,2020,,12-7-2021,11:58,11,Playlist,1,Comercial
"ATB ft. Topic, A7S",Your Love (9PM),Colab,EN,2021,2020,,12-7-2021,12:01,12,Playlist,1,Comercial
"Sia ft. Diplo, The Weeknd",Elastic Heart,Colab,EN,2015,2010,,12-7-2021,12:04,12,Playlist,1,Comercial
Carolina Deslandes,Não Me Importo,Artist Female,PT,2020,2020,,12-7-2021,12:07,12,Playlist,1,Comercial
Ed Sheeran,Afterglow,Artist Male,EN,2020,2020,93688145,12-7-2021,12:11,12,Playlist,1,Comercial
Justin Timberlake,SexyBack,Artist Male,EN,2006,2000,,12-7-2021,12:14,12,Playlist,1,Comercial
Pedro Abrunhosa,Fazer o que ainda Não Foi Feito,Artist Male,PT,2010,2010,,12-7-2021,12:18,12,Playlist,1,Comercial
Lewis Capaldi,Bruises,Artist Male,EN,2019,2010,,12-7-2021,12:23,12,Playlist,1,Comercial
Rony Fuego,Bem Disposto,Artist Male,PT,2020,2020,,12-7-2021,12:26,12,Playlist,1,Comercial
Coldplay,A Sky Full of Stars,Band,EN,2014,2010,,12-7-2021,12:30,12,Playlist,1,Comercial
Raye ft. Rudimental,Regardless,Colab,EN,2020,2020,9647220,12-7-2021,12:39,12,Playlist,1,Comercial
Avicii,The Nights,Artist Male,EN,2015,2010,722951666,12-7-2021,12:47,12,Playlist,1,Comercial
Syro,Perto de Mim,Artist Male,PT,2020,2020,,12-7-2021,12:50,12,Playlist,1,Comercial
Marshmello ft. Halsey,Be Kind,Colab,EN,2020,2020,,12-7-2021,12:54,12,Playlist,1,Comercial
Foo Fighters,Waiting on a War,Band,EN,2021,2020,7019864,12-7-2021,12:59,12,Playlist,1,Comercial
Rag'n'Bone Man,Human,Artist Male,EN,2016,2010,,12-7-2021,13:03,13,Playlist,1,Comercial
Fernando Daniel ft. Agir,Sem Ti,Colab,PT,2020,2020,,12-7-2021,13:07,13,Playlist,1,Comercial
Jennifer Lopez ft. Pitbull,On the Floor,Colab,EN,2011,2010,,12-7-2021,13:10,13,Playlist,1,Comercial
Coldplay,Flags,Band,EN,2019,2010,,12-7-2021,13:14,13,Playlist,1,Comercial
Carolina Deslandes,Por Um Triz,Artist Female,PT,2021,2020,,12-7-2021,13:18,13,Playlist,1,Comercial
Shawn Mendes ft. Camila Cabello,Señorita,Colab,EN,2019,2010,,12-7-2021,13:21,13,Playlist,1,Comercial
Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000,12-7-2021,13:24,13,Playlist,1,Comercial
No Doubt,Don't Speak,Band,EN,1995,1990,,12-7-2021,13:27,13,Playlist,1,Comercial
Soraia Tavares,A Beleza Vai Mudar o Mundo,Artist Female,PT,2021,2020,,12-7-2021,13:30,13,Playlist,1,Comercial
Imagine Dragons,It's Time,Band,EN,2012,2010,,12-7-2021,13:40,13,Playlist,1,Comercial
duncan Laurence ft. Fletcher,Arcade (remix),Colab,EN,2020,2020,,12-7-2021,13:49,13,Playlist,1,Comercial
Vitor Kley,O Sol,Artist Male,PT,2017,2010,,12-7-2021,13:52,13,Playlist,1,Comercial
Zoe Wees,Control,Artist Female,EN,2021,2020,,12-7-2021,13:59,13,Playlist,1,Comercial
Álvaro de Luna,Juramento Eterno de Sal,Artist Male,PT,2020,2020,,12-7-2021,14:03,14,Playlist,1,Comercial
Red Hot Chili Peppers,Under the Bridge,Band,EN,1991,1990,,12-7-2021,14:06,14,Playlist,1,Comercial
Neev,Dancing in the Stars,Artist Male,PT,2021,2020,,12-7-2021,14:11,14,Playlist,1,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,14:14,14,Playlist,1,Comercial
ricky martin,livin la vida loca,Artist Male,EN,1999,1990,,12-7-2021,14:16,14,Playlist,1,Comercial
Miguel Araújo,Talvez se Eu Dançasse,Artist Male,PT,2019,2010,,12-7-2021,14:20,14,Playlist,1,Comercial
Gavin James,Always,Artist Male,EN,2018,2010,,12-7-2021,14:24,14,Playlist,1,Comercial
Maroon 5,Animals,Band,EN,2014,2010,,12-7-2021,14:27,14,Playlist,1,Comercial
Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,PT,2021,2020,,12-7-2021,14:31,14,Playlist,1,Comercial
"Riton ft. Nightcrawlers, Mufasa e Hyperman",Friday,Colab,EN,2021,2020,,12-7-2021,14:39,14,Playlist,1,Comercial
Sia,Chandelier,Artist Female,EN,2014,2010,2406122491,12-7-2021,14:47,14,Playlist,1,Comercial
António Zambujo,Lote B,Artist Male,PT,2021,2020,705891,12-7-2021,14:50,14,Playlist,1,Comercial
Dua Lipa,Don't Start Now,Artist Female,EN,2019,2010,,12-7-2021,14:53,14,Playlist,1,Comercial
The Weeknd ft. Ariana Grande,Save Your Tears (remix),Colab,EN,2020,2020,,12-7-2021,15:00,15,Playlist,1,Comercial
Bruno Mars,When I Was Your Man,Artist Male,EN,2012,2010,,12-7-2021,15:03,15,Playlist,1,Comercial
Carlão,Assobia para o Lado,Artist Male,PT,2020,2020,,12-7-2021,15:06,15,Playlist,1,Comercial
Estelle ft. Kanye West,American Boy,Colab,EN,2008,2000,,12-7-2021,15:10,15,Playlist,1,Comercial
Imagine Dragons,Follow You,Band,EN,2021,2020,,12-7-2021,15:15,15,Playlist,1,Comercial
Virgul,High,Artist Male,PT,2020,2020,192991,12-7-2021,15:17,15,Playlist,1,Comercial
Matt Simons,Open Up,Artist Male,EN,2019,2010,,12-7-2021,15:22,15,Playlist,1,Comercial
Rag'n'Bone Man ft. Pink,Anywhere Away from Here,Colab,EN,2021,2020,,12-7-2021,15:24,15,Playlist,1,Comercial
Os Quatro e Meia,"Olá, Solidão",Band,PT,2021,2020,,12-7-2021,15:28,15,Playlist,1,Comercial
Muse,Uprising,Band,EN,2009,2000,,12-7-2021,15:33,15,Playlist,1,Comercial
Lukas Graham,You're Not There,Artist Male,EN,2015,2010,,12-7-2021,15:42,15,Playlist,1,Comercial
The Weeknd,In Your Eyes,Artist Male,EN,2020,2020,97839200,12-7-2021,15:51,15,Playlist,1,Comercial
António José ft. Diogo Piçarra,A Donde Vas,Colab,PT,2018,2010,,12-7-2021,15:55,15,Playlist,1,Comercial
Topic ft. A7S,Breaking Me,Colab,EN,2019,2010,169520510,12-7-2021,16:03,16,Playlist,1,Comercial
Doja Cat ft. SZA,Kiss Me More,Colab,EN,2021,2020,,12-7-2021,16:05,16,Playlist,1,Comercial
Bon Jovi,It's My Life,Band,EN,2000,2000,,12-7-2021,16:10,16,Playlist,1,Comercial
Aurea,Frágil,Artist Female,PT,2021,2020,,12-7-2021,16:13,16,Playlist,1,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,16:18,16,Playlist,1,Comercial
Joel Corry ft. MNEK,Head & Heart,Colab,EN,2020,2020,,12-7-2021,16:22,16,Playlist,1,Comercial
Amor Electro,Procura por Mim,Band,PT,2018,2010,4454441,12-7-2021,16:25,16,Playlist,1,Comercial
Imagine Dragons,Natural,Band,EN,2018,2010,,12-7-2021,16:29,16,Playlist,1,Comercial
Ana Moura,Andorinhas,Artist Female,PT,2021,2020,,12-7-2021,16:33,16,Playlist,1,Comercial
Coldplay,Higher Power,Band,EN,2021,2020,,12-7-2021,16:43,16,Playlist,1,Comercial
DJ Snake ft. Justin Bieber,Let Me Love You,Colab,EN,2016,2010,,12-7-2021,16:52,16,Playlist,1,Comercial
Ed Sheeran,Afterglow,Artist Male,EN,2020,2020,93688145,12-7-2021,16:59,16,Playlist,1,Comercial
Lady Gaga ft. Ariana Grande,Rain on Me,Colab,EN,2020,2020,,12-7-2021,17:02,17,Já se faz tarde,1,Comercial
Rony Fuego,Bem Disposto,Artist Male,PT,2020,2020,,12-7-2021,17:06,17,Já se faz tarde,1,Comercial
Beyoncé,If I Were a Boy,Artist Female,EN,2008,2000,,12-7-2021,17:09,17,Já se faz tarde,1,Comercial
Years & Years,It's a Sin,Band,EN,2021,2020,,12-7-2021,17:13,17,Já se faz tarde,1,Comercial
Virgul,Dividir Amor,Artist Male,PT,2020,2020,,12-7-2021,17:17,17,Já se faz tarde,1,Comercial
Dua Lipa,We're Good,Artist Female,EN,2021,2020,,12-7-2021,17:22,17,Já se faz tarde,1,Comercial
Lewis Capaldi,Before You Go,Artist Male,EN,2019,2010,,12-7-2021,17:24,17,Já se faz tarde,1,Comercial
Aerosmith,Crazy,Band,EN,1993,1990,579269014,12-7-2021,17:28,17,Já se faz tarde,1,Comercial
Bárbara Bandeira,Nós os Dois,Artist Female,PT,2019,2010,,12-7-2021,17:34,17,Já se faz tarde,1,Comercial
Calvin Harris,Summer,Artist Male,EN,2014,2010,1479082579,12-7-2021,17:43,17,Já se faz tarde,1,Comercial
Carolina Deslandes,Por Um Triz,Artist Female,PT,2021,2020,,12-7-2021,17:50,17,Já se faz tarde,1,Comercial
Dua Lipa ft. DaBaby,Levitating,Colab,EN,2020,2020,,12-7-2021,17:58,17,Já se faz tarde,1,Comercial
Master KG ft. Nomcebo Zikode,Jerusalema,Colab,EN,2020,2020,423351001,12-7-2021,18:06,18,Já se faz tarde,1,Comercial
